id,model,model_type,category,subcategory,prompt_text,style_tags,use_case,popularity_score,why_it_works,model_specific_technique
seedance_20_0001,Seedance 2.0,video,Product Demo,Product in Action Showcase,"[@Video1: sleek electric car driving on a coastal highway] Showcase a cutting-edge electric vehicle accelerating smoothly along a scenic coastal road at sunset, highlighting its aerodynamic design and silent engine. Physics triggers include ripple effects on nearby water and breath visible from exhaust vents simulated as soft vapor. Camera uses a 360 orbit shot combined with a dolly push to emphasize speed and design details. Cut to: close-up of dashboard interface with beat-synchronized audio cues matching acceleration sounds. Style is photorealistic with fluid, physics-accurate motion.","photorealistic, cinematic, fluid, aerial, physics-accurate",product_demo,10,Combining dynamic motion with detailed design highlights effectively conveys product innovation and performance.,physics triggers with 360 orbit camera
seedance_20_0002,Seedance 2.0,video,Product Demo,Product in Action Showcase,"Showcase a premium smart speaker in a modern living room setting. The product emits visible sound waves triggering subtle flutter effects on nearby curtains and billows on thin papers on a side table. Camera employs handheld smooth motions circling the product, with rack focus shifting from the speaker to human hands interacting via voice commands. Cut to: product lights pulsating rhythm-matched to ambient music. Visual style is stylized with warm tones emphasizing cozy tech integration.","stylized, warm, handheld, flutter, audio-driven motion",product_demo,9,Visible physical reactions to sound create a tangible connection between audio output and environment.,audio-visual sync with flutter physics
seedance_20_0003,Seedance 2.0,video,Product Demo,Product in Action Showcase,"[@Image1: high-tech drone hovering] Present a compact delivery drone over a futuristic urban environment during dawn. Capture the rotors creating realistic ripples on nearby foliage and swirl effects in light fog. Camera performs a tilt up from ground to aerial drone POV, showcasing smooth, physics-accurate flight dynamics. Cut to: drone landing with a gentle crumble effect on a soft landing pad material. Style is photorealistic with natural momentum emphasizing stability and precision.","photorealistic, aerial, physics-accurate, swirl, natural momentum",product_demo,9,Integrating environmental physics enhances realism and demonstrates product control capabilities.,physics triggers with tilt up camera
seedance_20_0004,Seedance 2.0,video,Product Demo,Product in Action Showcase,Feature a next-gen gaming laptop opening and powering on in a dimly lit room. The keyboard lights shimmer with ripple effects synchronized to the boot-up music beat. Camera uses a slow crane tilt down from screen to keyboard with smooth focus transitions. Cut to: close-up shots of the cooling fans creating visible breath vapor from heat dissipation simulated with billows. Style is cinematic and stylized with neon accents highlighting performance aesthetics.,"cinematic, stylized, billows, ripple, beat-synchronized",product_demo,9,Combining lighting effects and thermal simulation delivers an immersive tech experience.,physics triggers with beat-synchronized motion
seedance_20_0005,Seedance 2.0,video,Product Demo,Product in Action Showcase,"Demonstrate a robotic vacuum cleaner navigating a cluttered home environment. The device triggers subtle ripple effects on floor dust and soft flutter on lightweight objects like papers. Camera employs handheld tracking to follow the robot closely, with dynamic rack focus between obstacles and the robot’s sensor array lighting up. Cut to: a split screen showing before and after cleaning performance. Style is photorealistic with smooth, physics-accurate motion.","photorealistic, handheld, ripple, flutter, natural momentum",product_demo,8,Realistic interaction with environment demonstrates practical utility effectively.,physics triggers with handheld camera
seedance_20_0006,Seedance 2.0,video,Product Demo,Product in Action Showcase,[@Video1: sleek fitness smartwatch on wrist] Capture a fitness smartwatch displaying real-time health metrics during an outdoor run. Utilize ripple effects on sweat droplets and breath visible during cold morning conditions. Camera follows wrist action with fluid dolly push and 360 orbit shots emphasizing wrist flexibility and display clarity. Cut to: UI animation synced with heartbeat audio. Style blends photorealistic and stylized for emphasis on vitality and tech sophistication.,"photorealistic, stylized, breath visible, dolly push, audio-visual sync",product_demo,10,Syncing physiological visuals with device feedback creates an engaging user connection.,audio-visual sync with breath visible physics
seedance_20_0007,Seedance 2.0,video,Product Demo,Product in Action Showcase,"Showcase a high-end espresso machine brewing coffee. Steam billows realistically from the portafilter, triggering subtle ripple effects on surrounding cups’ surfaces. Camera uses a combination of close-up macro shots and smooth handheld pans focusing on water flow and crema formation. Cut to: shot of a satisfied user taking a sip, while ambient coffee shop sounds are rhythm matched to machine motions. Style is cinematic and photorealistic with warm lighting.","photorealistic, cinematic, billows, macro, rhythm-matched",product_demo,9,Multi-sensory synchronization highlights craftsmanship and user satisfaction.,physics triggers with rhythm-matched audio
seedance_20_0008,Seedance 2.0,video,Product Demo,Product in Action Showcase,"Demonstrate a foldable smartphone unfolding seamlessly on a clean futuristic desk. The unfolding triggers subtle shatter and ripple effects on a digital display beneath it, simulating advanced screen technology. Camera performs a smooth crane tilt up combined with dolly push accentuating the transformation. Cut to: dynamic UI animations synced to unfolding motions with bright neon accents. Style is stylized, sleek, and modern with fluid motion quality.","stylized, fluid, shatter, crane, audio-driven motion",product_demo,10,Visual effects paired with smooth mechanical motion emphasize innovation and usability.,physics triggers with crane camera
seedance_20_0009,Seedance 2.0,video,Product Demo,Product in Action Showcase,Present a smart home thermostat adjusting temperature settings. Display digital interface changes with ripple effects on its touchscreen and billows of warm/cool air simulated visibly around vents. Camera uses subtle handheld focus pulls between interface and room environment. Cut to: aerial shot showing the whole smart home with smooth airflow simulations synchronized to thermostat activity. Style is photorealistic with an emphasis on natural momentum and environment interaction.,"photorealistic, handheld, billows, ripple, aerial",product_demo,8,Visualizing invisible forces like airflow helps communicate product benefits clearly.,physics triggers with handheld and aerial shots
seedance_20_0010,Seedance 2.0,video,Product Demo,Product in Action Showcase,"[@Image1: sleek wireless earbuds in charging case] Highlight wireless earbuds popping out of their charging case with a shatter effect on virtual sound waves, illustrating sound clarity and power. Camera uses macro close-up with rack focus shifting between earbuds and LED indicators. Cut to: stylized visual equalizer reacting in rhythm with user’s music. Style combines stylized and photorealistic elements, focusing on smooth, fluid motion for premium feel.","stylized, photorealistic, shatter, macro, audio-driven motion",product_demo,9,Blending macro detail with sound visualization enhances product quality perception.,physics triggers with rack focus
seedance_20_0011,Seedance 2.0,video,Product Demo,Product in Action Showcase,Show a compact smart kitchen blender in action processing fruits into a smoothie. Capture splash and ripple effects inside the transparent blender jar with highly fluid motion physics. Camera uses a combination of tilt down and handheld tracking to focus on blending process and finished smoothie pouring into a glass. Cut to: close-up of app interface controlling blending speed with beat-synchronized UI feedback. Style is photorealistic and cinematic.,"photorealistic, cinematic, splash, tilt down, beat-synchronized",product_demo,9,Detailed fluid simulation combined with app control visuals showcases smart functionality effectively.,physics triggers with tilt down camera
seedance_20_0012,Seedance 2.0,video,Product Demo,Product in Action Showcase,Demonstrate a professional-grade camera stabilizer holding a DSLR during fast-paced movement. Show natural momentum and physics-accurate counterbalances with subtle ripple effects on strap and lens hood. Camera uses smooth handheld POV shots switching between operator perspective and product close-ups. Cut to: stylized UI overlay showing stabilization data synced to motion rhythm. Style is cinematic with emphasis on smooth physics-driven motion.,"cinematic, handheld, ripple, natural momentum, audio-visual sync",product_demo,8,Visualizing stabilization mechanics builds user trust through clear demonstration.,physics-accurate motion with handheld camera
