id,model,model_type,category,subcategory,prompt_text,style_tags,use_case,popularity_score,why_it_works,model_specific_technique
seedream_20_0001,Seedream 2.0,image,Product Photography,Beauty & Cosmetics,"A sleek matte ceramic foundation bottle, positioned on a polished marble surface with delicate drops of water for freshness. The scene is front-lit with soft, warm golden tones creating a luminous glow on the product’s frosted glass cap. Shot on a Hasselblad H6D with an 85mm f/1.4 lens using rule of thirds composition to emphasize elegance and clarity. The setting is minimalistic, focused on highlighting the subtle texture of the product packaging and the purity of the ingredients, delivering a luxurious and fresh editorial mood. Ideal for high-end beauty brand campaigns.","matte ceramic, warm golden tones, minimalistic, elegant, editorial",beauty_product,9,It balances texture and light to emphasize product quality and luxury.,front-lit with warm golden tones
seedream_20_0002,Seedream 2.0,image,Product Photography,Beauty & Cosmetics,"A high-end lipstick in a glossy lacquer case, displayed on a raw concrete slab to contrast texture. The product is backlit with strong rim light to define sharp edges and create a dramatic silhouette, enriched by cool blue tones for a modern, edgy appeal. Captured with a Canon EOS R5 and 50mm f/1.2 lens, using centered symmetry composition to intensify focus on the iconic shape and reflective material. This setup suits commercial fashion-forward beauty campaigns seeking dynamic, bold imagery.","glossy lacquer, backlit rim light, cool blue tones, dramatic, modern",beauty_product,8,"Rim lighting and material contrast create a striking, bold visual identity.",backlit rim lighting
seedream_20_0003,Seedream 2.0,image,Product Photography,Beauty & Cosmetics,"A luxury perfume bottle made of thick frosted glass, placed on a velvet fabric background. The scene is captured with 45-degree side lighting producing soft shadows and depth, enhanced by desaturated editorial color grading for a timeless, sophisticated appearance. Photographed on a Phase One IQ4 medium format camera with an 85mm f/1.4 lens, using golden ratio composition to create a natural flow around the product. The setup emphasizes refined craftsmanship and sensuality, suitable for premium fragrance campaigns.","frosted glass, 45-degree side lighting, desaturated editorial, luxurious, sophisticated",beauty_product,10,Side lighting and muted tones highlight craftsmanship and elegance subtly.,45-degree side lighting with desaturated grading
seedream_20_0004,Seedream 2.0,image,Product Photography,Beauty & Cosmetics,"A set of colorful lip gloss tubes with glossy lacquer finishes arranged in a Dutch angle flat lay on a polished marble tabletop. Three-point lighting evenly illuminates the scene, producing vibrant reflections and vivid colors in a commercial style perfect for online retail. Shot on a Canon EOS R5 with 50mm f/1.2 lens, the image pops with vibrant commercial color grading. The composition creates energy and enthusiasm, appealing to youthful, trend-conscious customers.","glossy lacquer, three-point lighting, vibrant commercial, dynamic, colorful",beauty_product,9,Dynamic lighting and angle enhance the product’s vibrancy encouraging purchase.,three-point lighting with Dutch angle flat lay
seedream_20_0005,Seedream 2.0,image,Product Photography,Beauty & Cosmetics,"An elegant jar of face cream with a brushed aluminum lid, placed on a matte ceramic pedestal. The product is lit with Rembrandt lighting to create soft shadows and a natural highlight triangle on the jar, enhancing texture and depth. Use of warm golden tones adds a comforting and premium feel. Shot on Hasselblad H6D, 85mm f/1.4, employing rule of thirds for balanced visual harmony. Ideal for beauty campaigns focusing on anti-aging or skin nourishment.","brushed aluminum, Rembrandt lighting, warm golden tones, premium, natural",beauty_product,8,Rembrandt lighting provides depth that accentuates quality materials effectively.,Rembrandt lighting with warm golden tones
seedream_20_0006,Seedream 2.0,image,Product Photography,Beauty & Cosmetics,"A minimalist matte black mascara tube resting on raw concrete, with subtle frosted glass droplets scattered nearby to evoke freshness. The product is front-lit with a cool blue tone to emphasize sleekness and modernity. Captured with the Phase One IQ4 and a 50mm f/1.2 lens, using centered symmetry to convey strength and simplicity. This setup works for high-contrast, edgy commercial beauty shoots targeting urban, sophisticated consumers.","matte ceramic, front-lit, cool blue tones, minimalist, edgy",beauty_product,8,"Cool frontal lighting combined with texture contrasts create a modern, bold aesthetic.",front-lit with cool blue tones
seedream_20_0007,Seedream 2.0,image,Product Photography,Beauty & Cosmetics,"A high-end facial serum bottle with a transparent glass body and polished marble dropper, surrounded by natural botanical elements on a satin cloth. The product is side-lit at 45 degrees with warm golden tones, creating an inviting glow that highlights purity and natural ingredients. Shot on a Hasselblad H6D with 85mm f/1.4 lens using rule of thirds to balance product and environment harmony. Perfect for luxury skincare brand editorial storytelling.","transparent glass, polished marble, 45-degree side-lit, warm golden tones, natural",beauty_product,10,Natural light direction and material detail evoke trust and luxury simultaneously.,45-degree side-lit with warm golden tones
seedream_20_0008,Seedream 2.0,image,Product Photography,Beauty & Cosmetics,"A vibrant eyeshadow palette with a glossy lacquer finish, open to showcase a spectrum of colors, photographed in an overhead flat lay on a velvet backdrop. Three-point lighting produces rich color saturation and subtle reflections, framed by a Dutch angle to add artistic flair. Captured with Canon EOS R5, 50mm f/1.2 lens, in vibrant commercial tone grading to emphasize creativity and fun. Suitable for beauty brands targeting makeup enthusiasts and influencers.","glossy lacquer, three-point lighting, vibrant commercial, velvet, creative",beauty_product,9,"Lighting and composition intensify color impact, appealing to artistic makeup users.",three-point lighting with Dutch angle flat lay
seedream_20_0009,Seedream 2.0,image,Product Photography,Beauty & Cosmetics,"A minimalist sunscreen tube with raw concrete texture in the background, lit with soft backlighting combined with a subtle rim light to define the tube’s matte ceramic surface. The lighting uses cool blue tones for a fresh, clinical feel. Shot using Phase One IQ4 and 85mm f/1.4 lens, employing centered symmetry to reinforce product purity and reliability. This image fits perfectly for dermatology or eco-conscious beauty product marketing.","matte ceramic, backlit rim light, cool blue tones, minimalist, clinical",beauty_product,8,Backlit rim light highlights product form and suggests purity and trust.,backlit rim lighting with cool tones
seedream_20_0010,Seedream 2.0,image,Product Photography,Beauty & Cosmetics,"A luxury hand cream tube with a brushed aluminum cap, positioned on a polished marble surface with a soft focus background of diffused light. The product is 45-degree side-lit using warm golden tones to enhance the metallic texture and creaminess implied by the packaging. Shot with Hasselblad H6D and 85mm f/1.4 lens using the golden ratio for harmonious composition. Ideal for sophisticated skincare brand editorial and commercial use.","brushed aluminum, 45-degree side lighting, warm golden tones, luxurious, harmonious",beauty_product,9,Side lighting combined with golden tones perfectly conveys premium quality.,45-degree side lighting with warm tones
seedream_20_0011,Seedream 2.0,image,Product Photography,Beauty & Cosmetics,"A pearl white compact powder case with a glossy lacquer finish, styled on a matte ceramic plate with soft fabric folds. The product is illuminated by Rembrandt lighting that sculpts the curves and highlights glossy details. Captured on a Canon EOS R5 with 50mm f/1.2 lens using centered symmetry to create focus and balance. Color grading leans toward desaturated editorial tones for a chic, timeless mood, perfect for luxury cosmetic advertisements.","glossy lacquer, Rembrandt lighting, desaturated editorial, timeless, chic",beauty_product,9,Rembrandt lighting sculpts texture and form elegantly for a refined product feel.,Rembrandt lighting with desaturated tones
