id,model,model_type,category,subcategory,prompt_text,style_tags,use_case,popularity_score,why_it_works,model_specific_technique
veo_31_0001,Veo 3.1,video,Product Photography,Automotive Products,"[00:00-00:04] Ultra-clean studio shot of a high-performance alloy wheel, positioned on a rotating platform. Smooth dolly push reveals intricate spoke details with sharp reflections. Studio lighting with softboxes ensures even illumination, highlighting polished metal surfaces. Crisp depth of field isolates product with subtle bokeh background. Cut to [00:04-00:06] macro close-up of lug nuts with lens flare accentuating metallic texture. Audio: subtle mechanical whirr of rotation.","studio lighting, macro, depth of field, photorealistic, product catalog",product_catalog,9,"Combines dynamic rotation with detailed close-up to showcase craftsmanship and quality, essential for catalog clarity.",timestamp multi-shot with dolly push and macro close-up
veo_31_0002,Veo 3.1,video,Product Photography,Automotive Products,"Handheld camera captures a sleek carbon fiber spoiler mounted on a glossy black sports car under natural diffused daylight. [00:00-00:05] Tracking shot from front to rear, emphasizing aerodynamic curves and weave textures. Golden hour lighting casts warm tones and soft shadows to evoke premium quality. Rack focus shifts from logo badge to spoiler edge. Audio: gentle ambient breeze with faint city sounds in the background.","natural lighting, tracking shot, rack focus, carbon fiber, photorealistic",product_catalog,8,Natural environment and dynamic focus guide viewer’s attention to product texture and design elegance.,tracking shot with rack focus under natural diffused lighting
veo_31_0003,Veo 3.1,video,Product Photography,Automotive Products,"[00:00-00:03] Aerial drone shot of a rugged all-terrain tire set on rocky ground, softly illuminated by magic hour light. Slow crane shot closes in to show aggressive tread patterns and sidewall branding. Neon-lit reflective highlights accentuate rubber textures. Cut to [00:03-00:06] close-up on tire's tread depth with shallow depth of field and film grain for gritty feel. Audio: distant off-road engine revving enhances adventurous mood.","aerial drone, magic hour, close-up, textured, cinematic",product_catalog,8,"Showcases product durability and design in authentic outdoor setting, appealing to adventurous buyers.",aerial drone with crane shot and textured close-up
veo_31_0004,Veo 3.1,video,Product Photography,Automotive Products,"Studio shot featuring a premium leather steering wheel on pedestal, enveloped in warm golden hour lighting simulated by spotlights. [00:00-00:05] Slow dolly push around 360 degrees capturing stitched details and grain texture. Lens flare highlights glossy finish. Depth of field isolates product against gradient dark background. Audio: soft ambient hum mimicking car interior.","studio lighting, golden hour, dolly push, texture, luxury",product_catalog,9,Focuses on material quality and craftsmanship through lighting and motion enhancing luxurious appeal.,dolly push with simulated golden hour studio lighting
veo_31_0005,Veo 3.1,video,Product Photography,Automotive Products,"Close-up details of chrome car emblem on glossy red hood, captured with anamorphic lens for cinematic horizontal lens flares. [00:00-00:04] Rack focus shifts from emblem to paint texture showing flawless finish. Natural diffused daylight mixed with subtle neon reflections adds vibrancy. Cut to [00:04-00:07] handheld steadycam shot pulling back to reveal entire front grille. Audio: soft engine purring.","anamorphic, rack focus, natural lighting, chrome, cinematic",product_catalog,8,Cinematic lens effects and focus techniques elevate product prestige and surface detail clarity.,anamorphic lens flare with rack focus and handheld steadycam
veo_31_0006,Veo 3.1,video,Product Photography,Automotive Products,[00:00-00:03] Wide shot of an illuminated LED headlight assembly on a dark background with neon-lit accents. Camera slowly cranes in to reveal multi-layered lens and LED arrays. Sharp reflections and controlled shadows enhance high-tech look. Cut to [00:03-00:06] extreme macro of LED diodes pulsing softly. Audio: subtle electronic hum synced with LED lighting pulses.,"neon-lit, crane shot, macro, high-tech, photorealistic",product_catalog,9,Tech-focused lighting and macro detail capture innovative design elements essential for catalog showcase.,neon-lit crane shot with macro and synced audio
veo_31_0007,Veo 3.1,video,Product Photography,Automotive Products,"Studio lighting setup with natural diffused softboxes illuminates a matte black exhaust tip mounted horizontally. [00:00-00:05] Slow tracking shot from side, highlighting brushed metal texture and subtle carbon fiber inlays. Lens flare and film grain added for industrial aesthetic. Cut to [00:05-00:07] close-up on weld seams with shallow depth of field. Audio: faint metallic clink and gentle airflow.","studio lighting, tracking shot, matte finish, industrial, macro",product_catalog,7,Balanced lighting and textural detail emphasize build quality and design precision.,tracking shot with macro close-up and film grain
veo_31_0008,Veo 3.1,video,Product Photography,Automotive Products,"[00:00-00:04] Handheld steadicam shot of a rugged off-road roof rack mounted on SUV, shot at golden hour with warm natural sunlight casting dynamic shadows. Camera moves from side profile to front, showing sturdy construction and mounting system. Rack focus switches from background mountains to close rack bolts. Audio: soft wind with distant bird calls.","golden hour, steadicam, rack focus, outdoor, adventure",product_catalog,8,"Combines product functionality with aspirational outdoor lifestyle, using natural lighting and dynamic camera to engage.",steadicam tracking with rack focus under golden hour lighting
veo_31_0009,Veo 3.1,video,Product Photography,Automotive Products,"[00:00-00:03] Macro lens close-up of a precision-engineered brake caliper, showing vibrant red paint and logo. Controlled studio lighting with high contrast shadows highlights contours. Cut to [00:03-00:06] slow dolly push revealing the entire brake assembly with carbon ceramic disc. Background softly blurred with bokeh. Audio: gentle metallic scraping sounds.","macro, studio lighting, dolly push, precision, photorealistic",product_catalog,9,Detailed framing communicates product sophistication and performance orientation clearly.,macro to dolly push transition with bokeh background
veo_31_0010,Veo 3.1,video,Product Photography,Automotive Products,"Cinematic 4K slow tracking shot of a futuristic digital dashboard display, lit by cool blue neon lights inside a darkened cabin. Lens flare and subtle film grain add cinematic texture. [00:00-00:05] Focus pull from digital speedometer to ambient lighting controls. Audio: soft electronic beeps and interface clicks.","cinematic, neon-lit, tracking shot, digital, photorealistic",product_catalog,8,Futuristic tech feel with cinematic atmosphere enhances perceived product innovation.,tracking shot with focus pull and neon lighting
