id,model,model_type,category,subcategory,prompt_text,style_tags,use_case,popularity_score,why_it_works,model_specific_technique
recraft_image_0001,Recraft Image,image,Product Photography,Brand Product Photography,"A sleek black wireless earbud set displayed on a reflective matte black surface, captured in a realistic_image style with photorealism substyle. Use a minimalist studio_portrait lighting setup with softbox lights to highlight the earbud curves and subtle branding details. Incorporate brand colors #1A1A2E and #E94560 as background accent lighting to emphasize brand consistency. Composition focuses on the earbuds centered with generous negative space on the right for overlay text. Include clear, accurate text on the product charging case that reads ""SoundX Pro"" in crisp typography. Ensure the image is print-ready and commercial quality for e-commerce use.","realistic_image, photorealism, studio_portrait, brand_colors, commercial_quality",brand_product,9,The minimalist lighting and brand color accents create a strong visual identity while maintaining product focus for commercial appeal.,Photorealistic rendering with precise text integration
recraft_image_0002,Recraft Image,image,Product Photography,Brand Product Photography,"A premium organic skincare serum bottle shot in natural_light on a textured white wooden table with green leaves as natural props. Use digital_illustration style with soft pastel brand colors #A8D5BA and #E94560 incorporated subtly in the label design and background elements. The composition features the bottle prominently in the foreground with a shallow depth of field blur in the background, creating depth and warmth. Include the product label text ""PureGlow Elixir"" in elegant serif font, rendered clearly and accurately on the bottle. This image is commercial quality, clean, and designed for a lifestyle brand website.","digital_illustration, natural_light, pastel_colors, text_rendering, commercial_quality",brand_product,8,Natural lighting and subtle brand colors combined with clear label text create an inviting and trustworthy product presentation.,Soft pastel color palette with accurate on-product text rendering
recraft_image_0003,Recraft Image,image,Product Photography,Brand Product Photography,"A modern stainless steel smartwatch displayed in a hard_flash realistic_image style with hdr substyle to enhance metal reflections and screen clarity. The watch is positioned on a dark reflective surface with #1A1A2E blue accent light from the left and soft fill light on the right, highlighting the watch face and metal band. Text on the watch screen reads ""SmartX 3.0"" in futuristic font, flawlessly rendered. The composition includes ample negative space on the right for branding slogan placement. Image is commercial-grade, print-ready, and emphasizes tech sophistication and brand consistency.","realistic_image, hard_flash, hdr, text_rendering, brand_colors",brand_product,9,Strong lighting contrasts and HDR bring out product details while precise text on-screen enhances brand identity effectively.,HDR lighting combined with hard flash and accurate screen text
recraft_image_0004,Recraft Image,image,Product Photography,Brand Product Photography,"A set of colorful vegan protein powder tubs arranged artistically on a clean white background, using vector_illustration style with a bright and inviting palette including brand colors #FF6F61 and #1A1A2E. Each tub features clear, legible product names like ""VeganPower"" and ""NutriBoost"" with consistent typography and logo placement. The composition includes a slight top-down angle with generous negative space for text marketing materials. Lighting is soft and even to avoid shadows. The image is commercial quality, suitable for website banners and printed catalogues.","vector_illustration, bright_palette, clean_composition, typography, commercial_quality",brand_product,7,"Bright colors and vector style create eye-catching, scalable visuals perfect for multi-channel brand consistency.",Vector illustration with precise product text and consistent logo placement
recraft_image_0005,Recraft Image,image,Product Photography,Brand Product Photography,"A luxury leather handbag showcased in studio_portrait realistic_image style with warm natural light simulation. The handbag rests on a textured cream fabric background with shadows emphasizing the fine leather grain and stitching details. Use brand colors #BFA6A0 and #E94560 subtly in the handbag's interior lining visible at the edges. The composition includes close-up shots of metal clasps engraved with the brand name ""LuxeCraft"" in elegant serif text, rendered crisply. Image is clean, commercial quality, perfect for high-end fashion catalogs and online stores.","realistic_image, studio_portrait, natural_light, close_up, commercial_quality",brand_product,9,Warm lighting and detailed texture capture luxury feel while clear brand engraving reinforces premium identity.,Close-up photorealistic rendering with precise text engraving detail
recraft_image_0006,Recraft Image,image,Product Photography,Brand Product Photography,"A set of eco-friendly glass water bottles with bamboo caps, arranged outdoors on a natural stone surface in digital_illustration style emphasizing natural_light. Use a soft color palette dominated by brand colors #1A1A2E and #76B041 with leaf shadows cast over the bottles. Labels read ""EcoSip"" in modern sans-serif font, perfectly rendered and legible. The composition uses a diagonal layout with generous negative space in the upper left corner for text overlays. The image is commercial quality, environmentally conscious, and suitable for social media campaigns and product packaging.","digital_illustration, natural_light, eco_friendly, brand_colors, text_rendering",brand_product,8,Natural elements and brand colors combined with crisp label text create an authentic eco-friendly vibe.,Natural light simulation with precise product label text
recraft_image_0007,Recraft Image,image,Product Photography,Brand Product Photography,"A close-up shot of a matte black gaming mouse on a dark textured surface, captured in realistic_image style with hard_flash and motion_blur substyles to emphasize speed and precision. The mouse features LED brand accents glowing #E94560, and the brand name ""GamePro"" is displayed clearly on the side panel in sharp digital text. The composition is dynamic with diagonal framing and ample negative space on the left for promotional text. Lighting highlights the ergonomic design and surface texture. The image is commercial quality, perfect for tech product launches.","realistic_image, hard_flash, motion_blur, brand_colors, text_rendering",brand_product,9,Dynamic lighting and blur convey motion while sharp text and brand colors reinforce identity for a tech-savvy audience.,Hard flash lighting combined with motion blur and accurate text rendering
recraft_image_0008,Recraft Image,image,Product Photography,Brand Product Photography,"A minimalist ceramic coffee cup and saucer set on a light wooden table with soft natural_light, styled in digital_illustration with subtle shading and shadows. The cup features an embossed logo ""BrewHaus"" in clean, legible font, rendered crisply on the front. Use a warm color palette of #D9CAB3 and #E94560 accents to align with brand colors. Composition includes the cup slightly off-center to the left with generous negative space on the right for customer testimonial text. The image is commercial quality, clean, and suitable for cafe branding and social media.","digital_illustration, natural_light, minimalist, brand_colors, text_rendering",brand_product,8,Clean minimalistic style paired with warm colors and accurate logo embossing creates an inviting brand image.,Digital illustration with subtle shading and accurate embossed text
recraft_image_0009,Recraft Image,image,Product Photography,Brand Product Photography,"A professional DSLR camera body displayed on a dark grey matte surface, rendered in realistic_image style with hdr and studio_portrait lighting to highlight the camera's buttons and lens texture. Accent lights use brand colors #1A1A2E and #E94560 subtly reflected on the lens glass. The camera's LCD screen reads ""ProShot X"" in crisp, high-resolution text. The composition is centered with a slight top-down angle, including ample negative space on the right for marketing taglines. The image is print-ready, commercial quality, ideal for camera brand advertising.","realistic_image, hdr, studio_portrait, brand_colors, text_rendering",brand_product,10,HDR and studio lighting reveal fine product details while precise on-screen text reinforces product identity.,HDR lighting with accurate digital screen text rendering
recraft_image_0010,Recraft Image,image,Product Photography,Brand Product Photography,"A set of artisanal chocolate bars laid flat on rustic kraft paper, shot in vector_illustration style with a warm earthy palette featuring brand colors #6F4E37 and #E94560. Each bar wrapper shows clear branding text ""ChocoLuxe"" in elegant script font, precisely rendered. The composition is a neat grid with ample space around for product descriptions or pricing. Lighting is simulated soft natural_light with gentle shadows to add depth. The image is commercial-grade, perfect for online shops and printed promotional flyers.","vector_illustration, earthy_palette, natural_light, typography, commercial_quality",brand_product,7,"Warm colors and neat composition paired with clear label text deliver an inviting, brand-consistent product display.",Vector illustration with clean script font rendering
recraft_image_0011,Recraft Image,image,Product Photography,Brand Product Photography,"A collection of high-end scented candles in frosted glass jars on a marble countertop, shot using realistic_image style with natural_light and soft diffuser illumination. Brand colors #E94560 and #1A1A2E appear subtly in candle labels and packaging. Labels read ""AuraScents"" with a delicate serif font, text rendered crisply and accurately. Composition places candles asymmetrically with negative space on the right for campaign text. The image is commercial quality, clean, and styled for luxury home decor marketing collateral.","realistic_image, natural_light, soft_diffuser, brand_colors, text_rendering",brand_product,9,Soft natural lighting enhances luxury feel while precise label text promotes brand exclusivity effectively.,Soft diffuser lighting with high-fidelity text rendering on labels
